"name","lon","lat","age_max","age_min"
"Paranthropus_aethiopicus",35.5154,3.7653,2.7,2.33
"Paranthropus_boisei",37.42,4.65,2.588,0.781
"Paranthropus_robustus",27.61,-26.58,2.588,0.781
"Parapapio_ado",35.15,-4.12,3.6,2.588
"Parapapio_angusticeps",27.67,-26.7,5.333,0.0117
"Parapapio_broomi",28.81,-25.05,3.6,2.588
"Parapapio_jonesi",40.47,10.24,3.6,2.588
"Parapapio_lothagamensis",40.07,8.05,11.62,3.6
"Parapapio_whitei",28.81,-25.05,3.6,2.588
"Parapithecidae_DPC_2804",31.91,20.56,33.9,28.1
"Parapithecus_fraasi",31.91,20.56,33.9,28.1
"Paromomys_depressidens",-79.23,50.21,63.3,61.7
"Paromomys_farrandi",-83.3971,53.5456,63.3,61.7
"Paromomys_maturus",-67.09,55.86,63.3,61.7
"Parvimico_materdei",-67.05,-12.13,17.5,16.3
"Patasola_magdalenae",-71.53,4.09,13.8,11.8
"Paukkaungia_parva",97.97,9.6,41.3,38
"Pelycodus_jarrovii",-81.5,47.5,55.8,50.3
"Periconodon_huerzeleri",13,41,47.8,41.3
"Perupithecus_ucayaliensis",-65.2257,-11.8482,37.2,33.9
"Phenacolemur_archus",-77.05,53.11,58.7,55.8
"Phenacolemur_praecox",-78.54,51.42,55.8,50.3
"Phenacolemur_simonsi",-80.09,51.71,55.8,50.3
"Phenacopithecus_xueshii",109.08,33.78,48.6,37.2
"Phileosimias_brahuiorum",70.94,14.08,33.9,28.4
"Phileosimias_kamali",70.94,14.08,33.9,28.4
"Picromomys_petersonorum",-79.86,52.19,55.8,50.3
"Pierolapithecus_catalaunicus",3.19,39.38,12.75,11.1
"Plagiomene_multicuspis",-79.86,52.19,55.8,50.3
"Planetetherium_mirabile",-78.31,53.6,56.8,55.8
"Platychoerops_antiquus",11.53,39.21,59.2,56
"Platychoerops_boyeri",10.23,39.54,58.7,55.8
"Platychoerops_daubrei",10.77,40.28,56,47.8
"Platychoerops_richardsoni",8.47,42.51,56,47.8
"Platychoerops_russelli",7.49,42.59,56,47.8
"Plesiadapis_anceps",-78.13,60.96,61.7,56.8
"Plesiadapis_churchilli",-76.32,61.74,61.7,56.8
"Plesiadapis_cookei",-81.76,50.15,56.8,55.8
"Plesiadapis_dubius",-77.36,53.22,58.7,55.8
"Plesiadapis_fodinatus",-78.57,51.99,61.7,56.8
"Plesiadapis_gingerichi",-78.79,52.74,56.8,55.8
"Plesiadapis_insignis",10.2,36.11,59.2,56
"Plesiadapis_ploegi",10.23,39.54,58.7,55.8
"Plesiadapis_praecursor",-78.13,60.96,61.7,56.8
"Plesiadapis_remensis",11.49,39.21,59.2,56
"Plesiadapis_rex",-78.57,51.99,61.7,56.8
"Plesiadapis_russelli",9.2,39.92,56,47.8
"Plesiadapis_simonsi",-75.51,53.44,61.7,56.8
"Plesiadapis_tricuspidens",11.49,39.21,59.2,56
"Plesiadapis_walbeckensis",17.65,41.48,61.6,59.2
"Plesiolestes_nacimienti",-76.78,46.9,63.3,61.7
"Plesiolestes_problematicus",-74.08,51.29,63.3,61.7
"Plesiopithecus_teras",31.83,20.62,33.9,28.1
"Plesiopliopithecus_lockeri",14.54,45.37,15.97,11.608
"Pliobates_cataloniae",0.7675,41.7239,11.628,11.628
"Pliopapio_alemui",40.137,10.243,5.2,4.2
"Pliopithecus_antiquus",2.63,41.16,15.97,11.62
"Pliopithecus_vindobonensis",19.13,44.84,13.65,12.75
